nserie;datatrafego;placa;velocidade;velocidade_regul;hora
1043;2026-04-08 13:50:31;38ABA210FE5F9A6551E07AAA86B007CD52E8C95DFE9E826EA923723CC78078BD;41.0;70;13
1043;2026-04-08 13:50:32;CCB8B5C545E16391202D926FFE525B7B38BA34456460FD66609FE64A5281823D;39.0;70;13
1043;2026-04-08 13:50:34;7484F1014EFF7C3DC0CD2D6C49946C0B2FB8DD476CB89F3854F7B6A40AA9AE9C;44.0;70;13
1043;2026-04-08 13:50:35;FDB81471A9B10B7776A87C65C1A5F99E476F9136023965A18C3796D7A9A4E78B;40.0;70;13
1043;2026-04-08 13:50:37;F7136356A694CF7397C080AF85DBD74C504ECC96E0C3FED9FB5B0B5ACC04517E;42.0;70;13
1043;2026-04-08 13:50:39;B15B93B1BFFC3C2981DE402084FE664403571B804C5B1FB92E5D4A97F33DBD6B;46.0;70;13
1043;2026-04-08 13:50:41;4F0441B3B06FFA0781134400844B8D2469A2B9BAA9A9E46CCCC1ECEF2E8215CD;48.0;70;13
1043;2026-04-08 13:50:43;2EC5DBF7BD4E160AB79FCF6ACCC458C12E547339364BA7EDA1F9D4AA096BAEEC;51.0;70;13
1043;2026-04-08 13:50:45;F3F60D11E4661844018C8EA85EF7546A9FF3386CC17739AF468BB80BE7223179;52.0;70;13
1043;2026-04-08 13:50:48;28680D02892455E993B6F0B1B82531AC7F37BD130BB1C15619B3306B7C289609;46.0;70;13
1043;2026-04-08 13:50:50;AAFC2DA04766092181E9F16E48FDE095C6E22F3702A6954BE030502311952EF3;46.0;70;13
1043;2026-04-08 13:50:59;2C2509D74C195B3027975F54961288EB1A1D098131D910438FC2B935C549CD99;59.0;70;13
1043;2026-04-08 13:51:03;3CB311CF9907029CE1DC8136CCAA7389D10A67BB4B01037694B93290058AC83E;60.0;70;13
1043;2026-04-08 13:51:05;4BDA9AB3AFA2C55F787F993740E63DA1136881BE95F4571208D5841778F75EEA;57.0;70;13
1043;2026-04-08 13:51:15;BEB69465CBEE1AF27BD1566DD57370F6233F0D24F9318792F388F81E220D47DB;54.0;70;13
1043;2026-04-08 13:52:01;3562DB015F4C48927D403126683A9922316DE0ADD2AE542403F0829E5D0C45D7;50.0;70;13
1043;2026-04-08 13:52:04;81DB0E4CE573C2C00A193492F3DD042DFCC8174FBA95F69515E2D8DBA0ABB545;49.0;70;13
1043;2026-04-08 13:52:07;06C4BE1BEEFC87B518672A2B9779CD42E35ED49BFBB0AADD03636BBF24A2F933;63.0;70;13
1043;2026-04-08 13:52:09;3D2E859C0F95E01E39554E1C7B18A9E10CA346B20BBC4E5A301ACF5521A12384;56.0;70;13
1043;2026-04-08 13:52:12;675BC271D88D5D1A8052D1DEBF6A7AA9CFD359A0DADBF0FCEDD6F0FB5C0E9137;56.0;70;13
1043;2026-04-08 13:52:15;969830CBF53029702143DA65D04602D10D478B093CA3FD5F547DE0BFF715CE41;59.0;70;13
1043;2026-04-08 13:52:21;B2CDA26013C9083FE869EB41BC5DDF88FF5B2383C3DE747D8DABEC0B20BBA2F1;49.0;70;13
1043;2026-04-08 13:52:25;8CF541693FEFABF9EDD4DC888448AACDFD229353AD130E30C09E70A79AB4AE11;52.0;70;13
1043;2026-04-08 13:52:27;03A2DB433C83FDFB823FCD2592113C8F567C032ABC0A79BB8ECD80B4DAAE839A;50.0;70;13
1043;2026-04-08 13:52:28;38ECDAFDDB4EDAB9C803B7FCC749F4A1F4FFABE340A0E8330646BD1C2FA0AE74;59.0;70;13
1043;2026-04-08 13:52:30;CC8EC72D2D033BB36FDF6D577B12C1CE2DAEF86B6DF0AD17163BF079BA4D9BA5;60.0;70;13
1043;2026-04-08 13:52:34;9C784EBEA0B0998C447F4E8AEA4A58F92FEC15C41EB8DC2E6C6760C51C2F15AA;58.0;70;13
1043;2026-04-08 13:52:35;2B4F4FD7798E70559740A069A590AAAC6DA4B01E6DAEC436A118ECB4E1EE50D1;58.0;70;13
